season,convert,convert_survived,comparator_key,comparator_team,pos,age,age_gap,prior_gp,one_year_state,survived
2022-23,Nathan Beaulieu,no,parayko c,STL,D,29,0,79,same_team,yes
2022-23,Nathan Beaulieu,no,seeler n,PHI,D,29,0,77,same_team,yes
2022-23,Nathan Beaulieu,no,demelo d,WPG,D,29,0,75,same_team,yes
2022-23,Daniel Sprong,yes,zacha p,BOS,C,25,0,82,same_team,yes
2022-23,Daniel Sprong,yes,mcdavid c,EDM,C,25,0,82,same_team,yes
2022-23,Daniel Sprong,yes,debrincat a,OTT,R,25,0,82,moved,yes
2022-23,Jimmy Vesey,yes,gaudreau f,MIN,C,29,0,82,same_team,yes
2022-23,Jimmy Vesey,yes,sissons c,NSH,C,29,0,82,same_team,yes
2022-23,Jimmy Vesey,yes,trocheck v,NYR,C,29,0,82,same_team,yes
2022-23,Zach Aston-Reese,no,wennberg a,SEA,C,28,0,82,same_team,yes
2022-23,Zach Aston-Reese,no,vatrano f,ANA,R,28,0,81,same_team,yes
2022-23,Zach Aston-Reese,no,athanasiou a,CHI,C,28,0,81,same_team,yes
2022-23,Derick Brassard,no,kopitar a,LAK,C,35,0,82,same_team,yes
2022-23,Derick Brassard,no,crosby s,PIT,C,35,0,82,same_team,yes
2022-23,Derick Brassard,no,kessel p,VGK,R,35,0,82,out,no
2022-23,Anton Stralman,no,edler a,LAK,D,36,0,64,out,no
2022-23,Anton Stralman,no,burns b,CAR,D,37,1,82,same_team,yes
2022-23,Anton Stralman,no,suter r,DAL,D,37,1,82,same_team,yes
2022-23,Derek Stepan,no,kadri n,CGY,C,32,0,82,same_team,yes
2022-23,Derek Stepan,no,tatar t,NJD,L,32,0,82,moved,yes
2022-23,Derek Stepan,no,lee a,NYI,L,32,0,82,same_team,yes
2022-23,Michael Stone,yes,karlsson e,SJS,D,32,0,82,moved,yes
2022-23,Michael Stone,yes,dillon b,WPG,D,32,0,82,same_team,yes
2022-23,Michael Stone,yes,myers t,VAN,D,32,0,78,same_team,yes
2023-24,Austin Watson,yes,coyle c,BOS,C,31,0,82,same_team,yes
2023-24,Austin Watson,yes,martinook j,CAR,L,31,0,82,same_team,yes
2023-24,Austin Watson,yes,pageau j,NYI,C,31,0,82,same_team,yes
2023-24,Noah Gregor,yes,frederic t,BOS,C,25,0,82,same_team,yes
2023-24,Noah Gregor,yes,sharangovich y,CGY,C,25,0,82,same_team,yes
2023-24,Noah Gregor,yes,luostarinen e,FLA,C,25,0,82,same_team,yes
2024-25,Kevin Lankinen,yes,sorokin i,NYI,G,29,0,61,same_team,yes
2024-25,Kevin Lankinen,yes,shesterkin i,NYR,G,29,0,61,same_team,yes
2024-25,Kevin Lankinen,yes,saros j,NSH,G,29,0,58,same_team,yes
2024-25,Tyson Barrie,no,mcnabb b,VGK,D,33,0,82,same_team,yes
2024-25,Tyson Barrie,no,van riemsdyk t,WSH,D,33,0,82,same_team,yes
2024-25,Tyson Barrie,no,chiarot b,DET,D,33,0,81,same_team,yes
2024-25,Tanner Pearson,yes,gallagher b,MTL,R,32,0,82,same_team,yes
2024-25,Tanner Pearson,yes,niederreiter n,WPG,R,32,0,82,same_team,yes
2024-25,Tanner Pearson,yes,schwartz j,SEA,L,32,0,81,same_team,yes
2024-25,Kevin Labanc,no,pastrnak d,BOS,R,28,0,82,same_team,yes
2024-25,Kevin Labanc,no,tuch a,BUF,R,28,0,82,same_team,yes
2024-25,Kevin Labanc,no,larkin d,DET,C,28,0,82,same_team,yes
2024-25,Kailer Yamamoto,yes,batherson d,OTT,R,26,0,82,same_team,yes
2024-25,Kailer Yamamoto,yes,kyrou j,STL,R,26,0,82,same_team,yes
2024-25,Kailer Yamamoto,yes,hagel b,TBL,L,26,0,82,same_team,yes
2024-25,Austin Watson,no,janmark m,EDM,C,32,0,80,out,no
2024-25,Austin Watson,no,carrick s,NYR,C,32,0,80,same_team,yes
2024-25,Austin Watson,no,martinook j,CAR,L,32,0,79,same_team,yes
2024-25,Jakub Vrana,no,foegele w,LAK,L,28,0,82,same_team,yes
2024-25,Jakub Vrana,no,dvorak c,MTL,C,28,0,82,moved,yes
2024-25,Jakub Vrana,no,evans j,MTL,C,28,0,82,same_team,yes
2024-25,Max Pacioretty,no,killorn a,ANA,L,35,0,82,same_team,yes
2024-25,Max Pacioretty,no,benn j,DAL,L,35,0,80,out,no
2024-25,Max Pacioretty,no,dadonov e,DAL,L,35,0,80,moved,yes
2024-25,Steven Lorentz,yes,nylander w,TOR,R,28,0,82,same_team,yes
2024-25,Steven Lorentz,yes,debrusk j,VAN,L,28,0,82,same_team,yes
2024-25,Steven Lorentz,yes,connor k,WPG,L,28,0,82,same_team,yes
2024-25,Travis Dermott,no,provorov i,CBJ,D,27,0,82,same_team,yes
2024-25,Travis Dermott,no,werenski z,CBJ,D,27,0,81,same_team,yes
2024-25,Travis Dermott,no,kovacevic j,NJD,D,27,0,81,out,no
