season,team,opener_date
2024-25,FLA,2024-10-08
2024-25,LAK,2024-10-10
2024-25,MIN,2024-10-10
2024-25,MTL,2024-10-09
2024-25,NSH,2024-10-10
2024-25,NJD,2024-10-04
2024-25,NYI,2024-10-10
2024-25,NYR,2024-10-09
2024-25,OTT,2024-10-10
2024-25,PHI,2024-10-11
2024-25,PIT,2024-10-09
2024-25,SJS,2024-10-10
2024-25,STL,2024-10-08
2024-25,TBL,2024-10-11
2024-25,TOR,2024-10-09
2024-25,VAN,2024-10-09
2024-25,VGK,2024-10-09
2024-25,WSH,2024-10-12
2024-25,WPG,2024-10-09
2024-25,UTA,2024-10-08
2024-25,SEA,2024-10-08
