season,player,sign_team,position,sign_age,sign_date,level,sign_status,structure,tracker_confirmed,window_class,played_for_club,one_year_state,one_year_team,back_on_pto,notes
2023-24,Jonah Gadjovich,FLA,LW,25,2023-10-16,STD,UFA No QO,1-Way,,late,yes,,,,
2024-25,Tyson Barrie,CGY,D,33,2024-10-03,STD,UFA,1-Way,,convert,yes,,,,
2024-25,Tanner Pearson,VGK,LW,32,2024-10-04,STD,UFA,1-Way,,convert,yes,,,,
2024-25,Kevin Labanc,CBJ,RW,28,2024-10-05,STD,UFA,1-Way,,convert,yes,,,,AUDIT Waddell moved CAR to CBJ May 2024 - CBJ correct
2024-25,Kailer Yamamoto,UTA,RW,26,2024-10-06,STD,UFA No QO,2-Way,,convert,yes,,,,
2024-25,Jakub Vrana,WSH,LW,28,2024-10-07,STD,UFA,1-Way,,convert,yes,,,,
2024-25,Austin Watson,DET,LW,32,2024-10-07,STD,UFA,2-Way,,convert,yes,,,,repeat see 2023-24 TBL
2024-25,Max Pacioretty,TOR,LW,35,2024-10-07,STD,UFA,1-Way,,convert,yes,,,,AUDIT Treliving TOR - correct
2024-25,Steven Lorentz,TOR,C,28,2024-10-07,STD,UFA,1-Way,,convert,yes,,,,AUDIT Treliving TOR - correct
2024-25,Cameron Wright,EDM,RW,26,2024-10-07,STD,UFA No QO,2-Way,,convert,no,,,,GM CORRECTED Stan Bowman moved CHI to EDM Jul 2024
2024-25,Travis Dermott,EDM,D,27,2024-10-08,STD,UFA,2-Way,,convert,yes,,,,GM CORRECTED Stan Bowman moved CHI to EDM Jul 2024; played 10 GP EDM
2024-25,Gustav Lindstrom,MTL,D,25,2024-10-09,STD,UFA No QO,2-Way,,convert,no,,,,
