season,player,sign_team,position,sign_age,sign_date,level,sign_status,structure,tracker_confirmed,window_class,played_for_club,one_year_state,one_year_team,back_on_pto,notes,first_five_cutoff,made_roster,survived
2022-23,Daniel Sprong,SEA,LW,25,2022-10-03,STD,UFA No QO,2-Way,yes,convert,yes,moved,DET,,,2022-10-29,yes,yes
2022-23,Jimmy Vesey,NYR,LW,29,2022-10-09,STD,UFA,1-Way,yes,convert,yes,same_team,NYR,,repeat see 2021-22 NJD,2022-10-30,yes,yes
2022-23,Pierre-Cedric Labrie,TBL,LW,36,2022-10-09,STD,UFA,2-Way,no,convert,no,,,,UNCONFIRMED,2022-11-01,no,
2022-23,Zach Aston-Reese,TOR,C,28,2022-10-09,STD,UFA,1-Way,yes,convert,yes,out,,,,2022-10-30,yes,no
2022-23,Derick Brassard,OTT,C,35,2022-10-10,STD,UFA,1-Way,yes,convert,yes,out,,,UNCONFIRMED; CONFIRMED PTO OTT; awarded 1yr after camp,2022-11-03,yes,no
2022-23,Anton Stralman,BOS,D,36,2022-10-11,STD,UFA,1-Way,yes,convert,yes,out,,,UNCONFIRMED; CONFIRMED PTO BOS Sep 23; signed 1yr $1M Oct 12,2022-11-01,yes,no
2022-23,Derek Stepan,CAR,C,32,2022-10-11,STD,UFA,1-Way,yes,convert,yes,out,,,AUDIT Waddell CAR at the time - correct,2022-11-03,yes,no
2022-23,Michael Stone,CGY,D,32,2022-10-11,STD,UFA,2-Way,yes,convert,yes,moved,VGK,,,2022-11-05,yes,yes
2023-24,Colin White,PIT,C,26,2023-10-07,STD,UFA No QO,2-Way,,convert,yes,,,,,2023-11-04,no,
2023-24,Maxwell Willman,NJD,C,28,2023-10-07,STD,UFA,2-Way,,convert,yes,,,,,2023-11-03,no,
2023-24,Austin Watson,TBL,LW,31,2023-10-09,STD,UFA,1-Way,,convert,yes,moved,DET,,,2023-11-02,yes,yes
2023-24,Noah Gregor,TOR,LW,25,2023-10-10,STD,UFA No QO,1-Way,,convert,yes,moved,OTT,,AUDIT Treliving moved CGY to TOR May 2023 - TOR correct,2023-11-02,yes,yes
2024-25,Kevin Lankinen,VAN,G,29,2024-09-21,STD,UFA,1-Way,,convert,yes,same_team,VAN,,ADDED by widened window; verify tryout status,2024-11-02,yes,yes
2024-25,Eetu Makiniemi,PHI,G,25,2024-09-24,STD,UFA G6,2-Way,yes,convert,no,,,,"ADDED by widened window; CONFIRMED PTO from Aug 29, signed Sep 24 (PHR tracker); FALSE NEGATIVE of the old window",2024-10-29,no,
2024-25,Tyson Barrie,CGY,D,33,2024-10-03,STD,UFA,1-Way,yes,convert,yes,out,,,"CONFIRMED PTO CGY (Daily Faceoff, PHR)",2024-10-30,yes,no
2024-25,Tanner Pearson,VGK,LW,32,2024-10-04,STD,UFA,1-Way,yes,convert,yes,moved,WPG,,CONFIRMED PTO VGK; PHR signed Oct 4,2024-10-28,yes,yes
2024-25,Kevin Labanc,CBJ,RW,28,2024-10-05,STD,UFA,1-Way,yes,convert,yes,out,,,AUDIT Waddell moved CAR to CBJ May 2024 - CBJ correct; CONFIRMED PTO CBJ (Daily Faceoff),2024-11-01,yes,no
2024-25,Kailer Yamamoto,UTA,RW,26,2024-10-06,STD,UFA No QO,2-Way,yes,convert,yes,same_team,UTA,,CONFIRMED PTO UTA (Daily Faceoff),2024-10-28,yes,yes
2024-25,Austin Watson,DET,LW,32,2024-10-07,STD,UFA,2-Way,yes,convert,yes,out,,,repeat see 2023-24 TBL; CONFIRMED PTO DET; PHR signed Oct 7,2024-10-30,yes,no
2024-25,Cameron Wright,EDM,RW,26,2024-10-07,STD,UFA No QO,2-Way,,convert,no,,,,GM CORRECTED Stan Bowman moved CHI to EDM Jul 2024,2024-10-28,no,
2024-25,Jakub Vrana,WSH,LW,28,2024-10-07,STD,UFA,1-Way,yes,convert,yes,out,,,CONFIRMED PTO WSH; PHR signed Oct 8,2024-11-02,yes,no
2024-25,Max Pacioretty,TOR,LW,35,2024-10-07,STD,UFA,1-Way,yes,convert,yes,out,,,AUDIT Treliving TOR - correct; CONFIRMED PTO TOR Sep 11,2024-10-28,yes,no
2024-25,Steven Lorentz,TOR,C,28,2024-10-07,STD,UFA,1-Way,yes,convert,yes,same_team,TOR,,AUDIT Treliving TOR - correct; CONFIRMED PTO TOR; PHR signed Oct 7,2024-10-28,yes,yes
2024-25,Travis Dermott,EDM,D,27,2024-10-08,STD,UFA,2-Way,yes,convert,yes,out,,,GM CORRECTED Stan Bowman moved CHI to EDM Jul 2024; played 10 GP EDM; CONFIRMED PTO (Daily Faceoff),2024-10-28,yes,no
2024-25,Gustav Lindstrom,MTL,D,25,2024-10-09,STD,UFA No QO,2-Way,,convert,no,,,,,2024-10-29,no,
